cep_str,nome_cs,peso,n_cs_overlap
30810522,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810540,CENTRO DE SAUDE JARDIM ALVORADA,0.21842900611119123,3
31320610,CENTRO DE SAUDE JARDIM ALVORADA,0.9933262173351327,2
30810130,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810423,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810110,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810710,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810260,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810530,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810280,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810220,CENTRO DE SAUDE JARDIM ALVORADA,0.8854679774716705,2
30810090,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810427,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810630,CENTRO DE SAUDE JARDIM ALVORADA,0.8698541455644704,2
30810010,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810524,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320520,CENTRO DE SAUDE JARDIM ALVORADA,0.055486291343820875,2
30810300,CENTRO DE SAUDE JARDIM ALVORADA,0.9272187828798268,2
30810430,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810520,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320560,CENTRO DE SAUDE JARDIM ALVORADA,0.08587110959309047,2
31320440,CENTRO DE SAUDE JARDIM ALVORADA,0.22908063632119513,2
30810605,CENTRO DE SAUDE JARDIM ALVORADA,0.5525488884407272,2
30810500,CENTRO DE SAUDE JARDIM ALVORADA,0.894634909065153,2
30810480,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320570,CENTRO DE SAUDE JARDIM ALVORADA,0.13434205056658474,2
30810000,CENTRO DE SAUDE JARDIM ALVORADA,0.7277494843493946,4
30810310,CENTRO DE SAUDE JARDIM ALVORADA,0.5008361974574144,2
31320580,CENTRO DE SAUDE JARDIM ALVORADA,0.5844603925708342,2
30810450,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810400,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810570,CENTRO DE SAUDE JARDIM ALVORADA,0.1741698593500371,2
30810340,CENTRO DE SAUDE JARDIM ALVORADA,0.9792278925605138,2
30810100,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810560,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320480,CENTRO DE SAUDE JARDIM ALVORADA,0.4444726620182953,2
30810160,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320450,CENTRO DE SAUDE JARDIM ALVORADA,0.7319405673710452,2
30810120,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810170,CENTRO DE SAUDE JARDIM ALVORADA,0.9164392470769118,2
30810023,CENTRO DE SAUDE JARDIM ALVORADA,0.6748189242112634,2
30810230,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320660,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810680,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320670,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810370,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810350,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810250,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810460,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810395,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810140,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810380,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30750214,CENTRO DE SAUDE JARDIM ALVORADA,0.09318648495001887,2
30810200,CENTRO DE SAUDE JARDIM ALVORADA,0.5921211708950072,2
30810490,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320600,CENTRO DE SAUDE JARDIM ALVORADA,0.3331363526414561,2
31320460,CENTRO DE SAUDE JARDIM ALVORADA,0.5652746586229821,2
30810020,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810290,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810040,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810550,CENTRO DE SAUDE JARDIM ALVORADA,0.33195202392381423,2
30810240,CENTRO DE SAUDE JARDIM ALVORADA,0.46337596360321887,2
30810390,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320500,CENTRO DE SAUDE JARDIM ALVORADA,0.22790129968529194,2
31998550,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30750182,CENTRO DE SAUDE JARDIM ALVORADA,0.44799797767984334,2
31974038,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30810495,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31320665,CENTRO DE SAUDE JARDIM ALVORADA,1,1
31310300,CENTRO DE SAUDE JARDIM ALVORADA,0.5280140346385566,2
31250542,CENTRO DE SAUDE JARDIM ALVORADA,1,1
30622920,CENTRO DE SAUDE JARDIM ALVORADA,0.45287434518960956,2
31320430,CENTRO DE SAUDE JARDIM ALVORADA,0.45308060317987353,2
30622033,CENTRO DE SAUDE JARDIM ALVORADA,0.45287434518960956,2
30626250,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626100,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644202,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.03314226528322027,2
30644040,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626200,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.9999663077833585,2
30626436,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626505,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.9210042645980212,2
30626170,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626290,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.6973946718599159,2
30626470,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.4911767706288079,3
30626180,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644100,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.6955412609270701,2
30626485,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.9361562577556649,2
30644060,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626000,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626265,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626002,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626090,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.7881317362207263,2
30644120,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626620,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.04319691982015158,2
30626330,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626160,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30642565,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.9326147616818043,2
30644170,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.01764590770135223,2
30626490,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.18302068861594217,2
30626030,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626370,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.5027788605432312,2
30642587,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.9876294345933906,2
30626110,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644110,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626050,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30642560,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644030,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626495,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.5071113365908705,2
30644160,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.9227205790374802,2
30627215,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.17230040382830436,2
30642570,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.8043062706290076,2
30626020,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644010,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.5205271108047341,2
30626460,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644210,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.5043922498022398,2
30627200,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.1230843268211153,2
30626130,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644070,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626040,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626070,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626630,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.044964306256956,3
30627204,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644153,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626420,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644050,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626340,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626210,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644015,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30627110,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.03983620073185186,2
30626450,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.5735141929548411,2
30626140,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.9956172298307729,2
30642510,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626260,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30620000,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.044347300663233585,3
30626150,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.8330446047842027,2
30626390,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.17358615527070947,2
30627230,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.471743589824813,2
30642550,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30642580,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626010,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30627123,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.06924979253452065,2
30644090,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644158,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626220,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626400,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.8727626492089879,2
30644206,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.16001046601609162,2
30626300,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30642520,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626483,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.1486166735894906,2
30626230,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30642610,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30642595,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30642597,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644080,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626475,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.13740441736162962,3
30626190,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.7157157474475431,2
30644020,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626650,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.2069116092224846,2
30642140,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.35854617842073416,2
30660560,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.5543854209379427,2
30660752,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644150,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30644159,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30660314,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.11428264355040282,2
31970002,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30335380,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626350,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,1,1
30626004,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.07411240766018617,2
30624010,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,0.07571233500955131,2
