nivel,regional,evitadas_central,evitadas_ic_inf,evitadas_ic_sup,custo_central_BRL,custo_ic_inf_BRL,custo_ic_sup_BRL,custo_medio_BRL,periodo,n_meses_pos,ipca_deflacao_pct
BH Municipal,NA,13501,5132,23784,29049769.51,11041359.52,51174822.9,2151.61,mai/2024-mar/2026,23,26.4
Regional,VENDA NOVA,2092,795,3686,4501665.21,1711011.99,7930249.49,2151.61,mai/2024-mar/2026,23,26.4
Regional,BARREIRO,1852,704,3263,3985202.79,1514712.77,7020435.98,2151.61,mai/2024-mar/2026,23,26.4
Regional,NORDESTE,1809,688,3187,3892711.32,1479558.22,6857500.63,2151.61,mai/2024-mar/2026,23,26.4
Regional,NORTE,1498,569,2638,3222303.38,1224746.73,5676492.71,2151.61,mai/2024-mar/2026,23,26.4
Regional,NOROESTE,1463,556,2577,3147813.61,1196434.34,5545269.6,2151.61,mai/2024-mar/2026,23,26.4
Regional,OESTE,1387,527,2443,2983315.36,1133911.15,5255485.25,2151.61,mai/2024-mar/2026,23,26.4
Regional,LESTE,1346,512,2371,2895789.88,1100644.09,5101298.11,2151.61,mai/2024-mar/2026,23,26.4
Regional,CENTRO-SUL,1069,406,1883,2299250.96,873909.05,4050419.76,2151.61,mai/2024-mar/2026,23,26.4
Regional,PAMPULHA,986,375,1737,2121717,806431.19,3737671.37,2151.61,mai/2024-mar/2026,23,26.4
