nome_cs,regional,n_icsap_hist,prop_cs,evitadas_central,evitadas_ic_inf,evitadas_ic_sup,custo_central_BRL,custo_ic_inf_BRL,custo_ic_sup_BRL,custo_medio_BRL,periodo,n_meses_pos
CENTRO DE SAUDE CARLOS CHAGAS,CENTRO-SUL,1761,0.017934251262832,242,92,427,520985.87,198018.52,917782.13,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE RIO BRANCO,VENDA NOVA,1117,0.011375672152517516,154,58,271,330460.65,125602.89,582148.01,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE PIRATININGA,VENDA NOVA,1114,0.011345119765357667,153,58,270,329573.11,125265.55,580584.49,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE CARLOS PRATES,NOROESTE,1095,0.011151621313345282,151,57,265,323952.03,123129.06,570682.25,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE MANTIQUEIRA,VENDA NOVA,1093,0.011131253055238715,150,57,265,323360.34,122904.17,569639.9,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE GOIANIA,NORDESTE,1076,0.010958122861332898,148,56,261,318330.94,120992.57,560780,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE HORTO,LESTE,1047,0.010662783118787681,144,55,254,309751.39,117731.62,545666.04,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE MINAS CAIXA,VENDA NOVA,1027,0.010459100537722013,141,54,249,303834.46,115482.69,535242.62,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE BARREIRO DE CIMA,BARREIRO,1013,0.010316522730976047,139,53,245,299692.61,113908.44,527946.22,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE CABANA,OESTE,996,0.01014339253707023,137,52,241,294663.22,111996.84,519086.32,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE JARDIM EUROPA,VENDA NOVA,990,0.01008228776275053,136,52,240,292888.14,111322.16,515959.29,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE MILIONARIOS,BARREIRO,988,0.010061919504643963,136,52,239,292296.44,111097.27,514916.95,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE PARAUNA - VENDA NOVA,VENDA NOVA,981,0.00999063060127098,135,51,238,290225.52,110310.14,511268.75,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,VENDA NOVA,976,0.009939709956004562,134,51,236,288746.28,109747.91,508662.9,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE BONSUCESSO,BARREIRO,968,0.009858236923578295,133,51,234,286379.51,108848.34,504493.53,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE NAZARE,NORDESTE,959,0.009766579762098746,132,50,232,283716.89,107836.32,499802.99,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE VERA CRUZ,LESTE,961,0.009786948020205312,132,50,233,284308.58,108061.21,500845.33,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE ANDRADAS,VENDA NOVA,954,0.009715659116832328,131,50,231,282237.66,107274.09,497197.13,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE VENTOSA,OESTE,951,0.009685106729672478,131,50,230,281350.12,106936.75,495633.62,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE SAO CRISTOVAO,NOROESTE,945,0.009624001955352778,130,49,229,279575.04,106262.07,492506.6,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE PARAISO,LESTE,931,0.009481424148606811,128,49,226,275433.19,104687.81,485210.2,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE CEU AZUL,VENDA NOVA,924,0.009410135245233828,127,48,224,273362.26,103900.69,481562,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE SANTA AMELIA,PAMPULHA,885,0.009012954212155776,122,46,214,261824.24,99515.27,461236.34,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE CICERO IDELFONSO,OESTE,879,0.008951849437836076,121,46,213,260049.16,98840.59,458109.31,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,BARREIRO,881,0.008972217695942643,121,46,213,260640.86,99065.48,459151.65,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE SAO MIGUEL ARCANJO,CENTRO-SUL,882,0.008982401824995927,121,46,214,260936.7,99177.93,459672.82,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE PAULO VI - MARIVANDA BALEEIRO,NORDESTE,876,0.008921297050676227,120,46,212,259161.62,98503.25,456545.8,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE SALGADO FILHO,OESTE,873,0.008890744663516376,120,46,211,258274.08,98165.91,454982.28,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE ERMELINDA,NOROESTE,869,0.008850008147303242,119,45,210,257090.7,97716.12,452897.6,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE PINDORAMA ELZA MARTINS,NOROESTE,865,0.00880927163109011,119,45,210,255907.31,97266.34,450812.92,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE ETELVINA CARNEIRO,NORTE,860,0.008758350985823692,118,45,208,254428.08,96704.1,448207.06,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE INDEPENDENCIA,BARREIRO,858,0.008737982727717126,118,45,208,253836.38,96479.21,447164.72,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE SANTO ANTONIO,VENDA NOVA,855,0.008707430340557275,118,45,207,252948.84,96141.87,445601.21,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE NOVA YORK,VENDA NOVA,836,0.008513931888544891,115,44,202,247327.76,94005.38,435698.96,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,BARREIRO,826,0.008412090598012059,114,43,200,244369.29,92880.92,430487.25,2151.61,mai/2024-mar/2026,23
CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES,LESTE,827,0.00842227472706534,114,43,200,244665.14,92993.36,431008.42,2151.61,mai/2024-mar/2026,23
