modelo,coeficiente,estimate,ep,rr,ic_inf,ic_sup,p_valor
M1-base,(Intercept),4.63621,0.04537,103.1523,94.3755,112.7454,0
M1-base,mes_num,0.02959,0.00227,1.03,1.0255,1.0346,0
M1-base,interv,-0.19787,0.03052,0.8205,0.7728,0.8711,0
M1-base,tempo_pos,-0.04087,0.00304,0.96,0.9543,0.9657,0
M1-base,sin12,5.4e-4,0.00764,1.0005,0.9857,1.0156,0.9434
M1-base,cos12,-0.07347,0.00674,0.9292,0.917,0.9415,0
M2-interacao,(Intercept),4.59623,0.04057,99.1096,91.5338,107.3123,0
M2-interacao,mes_num,0.02967,0.00217,1.0301,1.0257,1.0345,0
M2-interacao,interv,-0.19376,0.03066,0.8239,0.7758,0.8749,0
M2-interacao,tempo_pos,-0.04076,0.00292,0.9601,0.9546,0.9656,0
M2-interacao,ivs_z,0.27528,0.03294,1.3169,1.2346,1.4047,0
M2-interacao,sin12,-0.00125,0.00762,0.9987,0.9839,1.0138,0.8693
M2-interacao,cos12,-0.06933,0.00667,0.933,0.9209,0.9453,0
M2-interacao,tempo_pos:ivs_z,-0.00203,0.00151,0.998,0.995,1.0009,0.1794
M3-completo,(Intercept),4.62795,0.04041,102.3039,94.5136,110.7362,0
M3-completo,mes_num,0.03009,0.00224,1.0305,1.026,1.0351,0
M3-completo,interv,-0.19948,0.03068,0.8192,0.7713,0.8699,0
M3-completo,tempo_pos,-0.04109,0.00294,0.9597,0.9542,0.9653,0
M3-completo,ivs_z,0.304,0.03285,1.3553,1.2708,1.4454,0
M3-completo,pct_sem_saneamento,-0.04982,0.00758,0.9514,0.9374,0.9656,0
M3-completo,sin12,-0.00183,0.00767,0.9982,0.9833,1.0133,0.8112
M3-completo,cos12,-0.0706,0.00684,0.9318,0.9194,0.9444,0
M3-completo,interv:ivs_z,-0.01452,0.02517,0.9856,0.9381,1.0354,0.5638
M3-completo,tempo_pos:ivs_z,-0.00158,0.0016,0.9984,0.9953,1.0016,0.3249
