nivel,regional,modelo,n_meses,beta_nivel,nivel_pct,nivel_ic_inf,nivel_ic_sup,p_nivel,apc_pre,apc_pre_inf,apc_pre_sup,p_pre,apc_pos,apc_pos_inf,apc_pos_sup,p_pos
BH Municipal,NA,GLS-AR1,51,-0.0315,-3.1,-11.9,6.6,0.5159,12.3,5.8,19.2,1e-4,-8.3,-19.1,3.9,3e-4
Regional,BARREIRO,GLS-AR1,36,0.0508,5.2,-23.2,44.2,0.752,7.8,-7.6,25.8,0.3377,-30.8,-70.7,63.1,0.3023
Regional,CENTRO-SUL,GLS-AR1,36,-0.0053,-0.5,-29.3,40,0.9759,12,-2.1,28,0.0978,-14.1,-62.8,98.2,0.5285
Regional,LESTE,GLS-AR1,36,0.0962,10.1,-21.2,53.8,0.5727,1.6,-14.3,20.4,0.8549,-21.8,-69,97.7,0.5739
Regional,NORDESTE,GLS-AR1,36,-0.0082,-0.8,-24.9,31.1,0.9542,7.3,-5.8,22.3,0.2876,-15.1,-59.6,78.1,0.5284
Regional,NOROESTE,GLS-AR1,36,0.0625,6.5,-21.1,43.7,0.6829,2.2,-8.1,13.7,0.6861,-25.5,-63.2,50.9,0.3745
Regional,NORTE,GLS-AR1,36,-0.0879,-8.4,-31.2,21.9,0.5463,7.7,-4.7,21.8,0.2329,2.7,-50.4,112.8,0.8959
Regional,OESTE,GLS-AR1,36,-0.0328,-3.2,-28.2,30.4,0.8294,1.5,-10.2,14.6,0.8145,-7.2,-55.9,95.5,0.8125
Regional,PAMPULHA,GLS-AR1,36,0.2255,25.3,-9.9,74.3,0.1805,4.3,-7.9,18.2,0.504,-47.8,-76.4,15.7,0.0843
Regional,VENDA NOVA,GLS-AR1,36,0.0483,4.9,-14.5,28.8,0.6435,6.9,-1.5,16,0.1106,-26.6,-55.7,21.7,0.1399
