nivel,regional,n_meses,n_jp,segmento,mes_inicio,mes_fim,slope,APC,aapc,unidade
BH Municipal,NA,51,2,1,1,16,0.001027,1.24,-0.16,% internações ICSAP
BH Municipal,NA,51,2,2,16,28,0.017202,22.93,-0.16,% internações ICSAP
BH Municipal,NA,51,2,3,28,51,-0.0099422,-11.25,-0.16,% internações ICSAP
Regional,BARREIRO,51,1,1,1,28,0.020165,27.38,4.23,ICSAP por 10.000 hab.
Regional,BARREIRO,51,1,2,28,51,-0.016174,-17.64,4.23,ICSAP por 10.000 hab.
Regional,CENTRO-SUL,51,1,1,1,30,0.012697,16.46,4,ICSAP por 10.000 hab.
Regional,CENTRO-SUL,51,1,2,30,51,-0.009757,-11.05,4,ICSAP por 10.000 hab.
Regional,LESTE,51,1,1,1,28,0.013381,17.42,2.18,ICSAP por 10.000 hab.
Regional,LESTE,51,1,2,28,51,-0.011793,-13.2,2.18,ICSAP por 10.000 hab.
Regional,NORDESTE,51,1,1,1,28,0.015276,20.12,4.85,ICSAP por 10.000 hab.
Regional,NORDESTE,51,1,2,28,51,-0.0093538,-10.62,4.85,ICSAP por 10.000 hab.
Regional,NOROESTE,51,1,1,1,28,0.011729,15.11,3.42,ICSAP por 10.000 hab.
Regional,NOROESTE,51,1,2,28,51,-0.0076819,-8.81,3.42,ICSAP por 10.000 hab.
Regional,NORTE,51,1,1,1,29,0.01535,20.23,5.55,ICSAP por 10.000 hab.
Regional,NORTE,51,1,2,29,51,-0.0093136,-10.57,5.55,ICSAP por 10.000 hab.
Regional,OESTE,51,1,1,1,29,0.0093194,11.83,0.79,ICSAP por 10.000 hab.
Regional,OESTE,51,1,2,29,51,-0.010365,-11.7,0.79,ICSAP por 10.000 hab.
Regional,PAMPULHA,51,0,1,1,51,0.0029800470677808,3.64,3.64,ICSAP por 10.000 hab.
Regional,VENDA NOVA,51,1,1,1,31,0.014311,18.74,4.96,ICSAP por 10.000 hab.
Regional,VENDA NOVA,51,1,2,31,51,-0.011376,-12.76,4.96,ICSAP por 10.000 hab.
