"arquivo","n_mg","n_bh_mov","n_bh_res","n_bh_both"
"RDMG2201.dbc",105244,19645,10265,10074
"RDMG2202.dbc",99645,20454,10782,10628
"RDMG2203.dbc",108235,22410,11670,11497
"RDMG2204.dbc",107176,21454,11107,10933
"RDMG2205.dbc",116627,24062,12725,12543
"RDMG2206.dbc",112689,23299,12068,11914
"RDMG2207.dbc",116148,22541,11731,11568
"RDMG2208.dbc",121754,26657,13955,13765
"RDMG2209.dbc",116241,23656,12101,11940
"RDMG2210.dbc",114891,22436,11604,11451
"RDMG2211.dbc",112867,22291,11681,11488
"RDMG2212.dbc",116067,22884,12240,12051
"RDMG2301.dbc",111575,22562,11976,11774
"RDMG2302.dbc",107100,19739,10684,10512
"RDMG2303.dbc",122773,23607,12453,12269
"RDMG2304.dbc",116414,21160,11324,11141
"RDMG2305.dbc",122465,23449,12492,12277
"RDMG2306.dbc",122555,22975,12441,12239
"RDMG2307.dbc",122828,22594,12160,11976
"RDMG2308.dbc",125781,23311,12503,12284
"RDMG2309.dbc",122564,23681,12681,12476
"RDMG2310.dbc",121125,21995,11779,11563
"RDMG2311.dbc",122960,22682,12315,12133
"RDMG2312.dbc",119510,22267,12014,11795
"RDMG2401.dbc",122143,25316,13763,13546
"RDMG2402.dbc",122371,21933,11873,11639
"RDMG2403.dbc",131254,24072,13365,13138
"RDMG2404.dbc",139135,26911,15289,15012
"RDMG2405.dbc",133685,24550,13584,13351
"RDMG2406.dbc",128533,23311,12926,12687
"RDMG2407.dbc",132337,25102,13952,13701
"RDMG2408.dbc",134161,25357,13920,13694
"RDMG2409.dbc",131953,23904,13156,12911
"RDMG2410.dbc",132844,24801,13367,13114
"RDMG2411.dbc",126661,23515,12709,12487
"RDMG2412.dbc",123002,23036,12632,12394
"RDMG2501.dbc",126429,24476,13452,13195
"RDMG2502.dbc",122372,22432,12231,12014
"RDMG2503.dbc",127776,23432,12824,12601
"RDMG2504.dbc",130850,23590,12902,12664
"RDMG2505.dbc",139441,25001,13900,13615
"RDMG2506.dbc",136264,24401,13664,13411
"RDMG2507.dbc",140907,25712,14316,14043
"RDMG2508.dbc",139123,24752,13926,13610
"RDMG2509.dbc",138500,24717,13812,13553
"RDMG2510.dbc",139240,26844,14991,14750
"RDMG2511.dbc",129205,23226,12820,12541
"RDMG2512.dbc",127388,21856,12228,11996
"RDMG2601.dbc",130106,24331,13844,13591
"RDMG2602.dbc",125363,23866,13615,13343
"RDMG2603.dbc",131119,23895,13431,13206
