nome_cs,regional,taxa_padronizada_media,taxa_bruta_media,n_anos,lisa_I,lisa_z,lisa_p,lisa_cluster,moran_I_global,moran_p_global,semente,data_analise
CENTRO DE SAUDE JARDIM ALVORADA,PAMPULHA,8.0225,0.6833,4,-0.2207,-0.6493,0.5162,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,BARREIRO,9.425,0.8867,4,0.148,0.3228,0.7469,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,BARREIRO,6.4525,0.8867,4,-0.0577,-1.2138,0.2248,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE VENTOSA,OESTE,8.8625,0.97,4,0.1893,0.4432,0.6576,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE COQUEIROS,NOROESTE,6.73,0.84,4,0.0408,0.4075,0.6836,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE GLORIA,NOROESTE,5.405,0.5333,4,0.0187,0.1424,0.8867,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE OLAVO ALBINO CORREA,NORDESTE,7.6475,0.81,4,0.072,0.3747,0.7079,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE GOIANIA,NORDESTE,10.085,1.14,4,0.0082,0.0347,0.9723,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,NORDESTE,4.2325,0.43,4,0.3075,0.6839,0.494,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE PADRE TARCISIO,CENTRO-SUL,4.635,0.5467,4,0.1313,0.4237,0.6718,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE DOM CABRAL,NOROESTE,4.1,0.46,4,0.0194,0.0576,0.9541,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE INDEPENDENCIA,BARREIRO,9.2775,0.8967,4,0.1961,0.3078,0.7582,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE NOVO AARAO REIS,NORTE,5.215,0.6967,4,-0.0167,-0.0853,0.9321,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE VALE DO JATOBA,BARREIRO,3.8725,0.5733,4,0.249,0.5511,0.5815,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,NORDESTE,4.0475,0.39,4,0.2665,0.6332,0.5266,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE SANTA MONICA II - ALAMEDA DOS IPES,VENDA NOVA,5.225,0.5,4,-0.4842,-2.381,0.0173,Low-High,0.2834,0,42,2026-05-15
CENTRO DE SAUDE SAO JOSE,PAMPULHA,3.1075,0.39,4,0.0724,0.1519,0.8792,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE URUCUIA,BARREIRO,6.7025,0.8033,4,-0.0021,-0.0258,0.9794,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE WALDOMIRO LOBO,OESTE,4.5325,0.41,4,-0.0417,-0.1538,0.8778,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE NORALDINO DE LIMA,OESTE,9.095,0.8633,4,0.7849,2.1041,0.0354,High-High,0.2834,0,42,2026-05-15
CENTRO DE SAUDE SAO FRANCISCO,PAMPULHA,3.4425,0.21,4,0.5064,1.2633,0.2065,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE CONJUNTO PAULO VI,NORDESTE,3.2875,0.42,4,0.6961,1.3787,0.168,Not Significant,0.2834,0,42,2026-05-15
CENTRO DE SAUDE ANDRADAS,VENDA NOVA,11.2325,1,4,1.4717,1.781,0.0749,Not Significant,0.2834,0,42,2026-05-15
