modelo,variavel,beta,irr,ic_inf,ic_sup,p_valor,n_obs,dispersao_pearson,fe_cs,fe_reg
M1_base,mes_num,-0.00224,0.99776,0.99444,1.00109,0.18668,7803,1.23046,TRUE,FALSE
M1_base,sin12,0.00704,1.00706,0.99014,1.02427,0.41561,7803,1.23046,TRUE,FALSE
M1_base,cos12,-0.06493,0.93713,0.92696,0.94741,0,7803,1.23046,TRUE,FALSE
M2_contextual,mes_num,-0.00224,0.99776,0.99444,1.00109,0.18702,7803,2.68403,FALSE,TRUE
M2_contextual,sin12,0.00704,1.00706,0.99013,1.02428,0.41597,7803,2.68403,FALSE,TRUE
M2_contextual,cos12,-0.06493,0.93713,0.92696,0.94742,0,7803,2.68403,FALSE,TRUE
M2_contextual,ivs_score,0.27868,1.32139,1.12125,1.55724,8.8e-4,7803,2.68403,FALSE,TRUE
M2_contextual,pct_area_favela,1.6e-4,1.00016,0.99702,1.00331,0.92247,7803,2.68403,FALSE,TRUE
M2_contextual,renda_media,0.32816,1.38842,0.8681,2.2206,0.17081,7803,2.68403,FALSE,TRUE
M2_contextual,pct_sem_saneamento,-0.03273,0.9678,0.9449,0.99126,0.00739,7803,2.68403,FALSE,TRUE
M3_estrutural,mes_num,-0.00471,0.99531,0.99142,0.99921,0.01838,4212,1.21403,TRUE,FALSE
M3_estrutural,sin12,0.01326,1.01335,0.99137,1.03581,0.2359,4212,1.21403,TRUE,FALSE
M3_estrutural,cos12,-0.08072,0.92246,0.90921,0.9359,0,4212,1.21403,TRUE,FALSE
M3_estrutural,n_esf,0.03368,1.03425,0.98089,1.09053,0.21276,4212,1.21403,TRUE,FALSE
M_dose_resposta,n_esf_qQ2 (5-6),-0.08225,0.92104,0.89726,0.94544,0,4176,NA,FALSE,FALSE
M_dose_resposta,n_esf_qQ3 (7-8),-0.05118,0.95011,0.84793,1.0646,0.378,4176,NA,FALSE,FALSE
M_dose_resposta,n_esf_qQ4 (9+),0.07198,1.07464,0.90901,1.27045,0.39929,4176,NA,FALSE,FALSE
M_dose_resposta,mes_num,-0.00472,0.99529,0.9913,0.9993,0.02136,4176,NA,FALSE,FALSE
M_dose_resposta,sin12,0.01164,1.01171,0.98955,1.03436,0.30277,4176,NA,FALSE,FALSE
M_dose_resposta,cos12,-0.08138,0.92184,0.90842,0.93546,0,4176,NA,FALSE,FALSE
M3_cnes_completo,mes_num,-0.00471,0.99531,0.99142,0.99921,0.01838,4212,1.21403,TRUE,FALSE
M3_cnes_completo,sin12,0.01326,1.01335,0.99137,1.03581,0.2359,4212,1.21403,TRUE,FALSE
M3_cnes_completo,cos12,-0.08072,0.92246,0.90921,0.9359,0,4212,1.21403,TRUE,FALSE
M3_cnes_completo,n_esf,0.03368,1.03425,0.98089,1.09053,0.21276,4212,1.21403,TRUE,FALSE
M1_geo_70pct,mes_num,-0.00224,0.99776,0.99444,1.00109,0.18668,7803,1.23046,TRUE,FALSE
M1_geo_70pct,sin12,0.00704,1.00706,0.99014,1.02427,0.41561,7803,1.23046,TRUE,FALSE
M1_geo_70pct,cos12,-0.06493,0.93713,0.92696,0.94741,0,7803,1.23046,TRUE,FALSE
