nome_cs,regional,ano,n_icsap,populacao,taxa_bruta,taxa_padronizada
CENTRO DE SAUDE AARAO REIS,NORTE,2023,95,2315560,0.41,0.41
CENTRO DE SAUDE AARAO REIS,NORTE,2024,145,2315560,0.63,0.63
CENTRO DE SAUDE AARAO REIS,NORTE,2025,112,2416339,0.46,0.46
CENTRO DE SAUDE AARAO REIS,NORTE,2026,32,0,NA,20.02
CENTRO DE SAUDE ALCIDES LINS,NORDESTE,2023,142,2315560,0.61,0.61
CENTRO DE SAUDE ALCIDES LINS,NORDESTE,2024,189,2315560,0.82,0.82
CENTRO DE SAUDE ALCIDES LINS,NORDESTE,2025,137,2416339,0.57,0.57
CENTRO DE SAUDE ALCIDES LINS,NORDESTE,2026,46,0,NA,28.79
CENTRO DE SAUDE ALTO VERA CRUZ,LESTE,2023,140,2315560,0.6,0.6
CENTRO DE SAUDE ALTO VERA CRUZ,LESTE,2024,189,2315560,0.82,0.82
CENTRO DE SAUDE ALTO VERA CRUZ,LESTE,2025,140,2416339,0.58,0.58
CENTRO DE SAUDE ALTO VERA CRUZ,LESTE,2026,37,0,NA,23.15
CENTRO DE SAUDE AMILCAR VIANA MARTINS,OESTE,2023,124,2315560,0.54,0.54
CENTRO DE SAUDE AMILCAR VIANA MARTINS,OESTE,2024,141,2315560,0.61,0.61
CENTRO DE SAUDE AMILCAR VIANA MARTINS,OESTE,2025,114,2416339,0.47,0.47
CENTRO DE SAUDE AMILCAR VIANA MARTINS,OESTE,2026,27,0,NA,16.9
CENTRO DE SAUDE ANDRADAS,VENDA NOVA,2023,200,2315560,0.86,0.86
CENTRO DE SAUDE ANDRADAS,VENDA NOVA,2024,256,2315560,1.11,1.11
CENTRO DE SAUDE ANDRADAS,VENDA NOVA,2025,249,2416339,1.03,1.03
CENTRO DE SAUDE ANDRADAS,VENDA NOVA,2026,67,0,NA,41.93
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,BARREIRO,2023,197,2315560,0.85,0.85
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,BARREIRO,2024,238,2315560,1.03,1.03
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,BARREIRO,2025,182,2416339,0.75,0.75
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,BARREIRO,2026,35,0,NA,21.9
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,BARREIRO,2023,160,2315560,0.69,0.69
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,BARREIRO,2024,241,2315560,1.04,1.04
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,BARREIRO,2025,179,2416339,0.74,0.74
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,BARREIRO,2026,42,0,NA,26.28
CENTRO DE SAUDE BARREIRO DE CIMA,BARREIRO,2023,238,2315560,1.03,1.03
CENTRO DE SAUDE BARREIRO DE CIMA,BARREIRO,2024,322,2315560,1.39,1.39
CENTRO DE SAUDE BARREIRO DE CIMA,BARREIRO,2025,235,2416339,0.97,0.97
CENTRO DE SAUDE BARREIRO DE CIMA,BARREIRO,2026,37,0,NA,23.15
CENTRO DE SAUDE BETANIA,OESTE,2023,101,2315560,0.44,0.44
CENTRO DE SAUDE BETANIA,OESTE,2024,101,2315560,0.44,0.44
CENTRO DE SAUDE BETANIA,OESTE,2025,84,2416339,0.35,0.35
CENTRO DE SAUDE BETANIA,OESTE,2026,24,0,NA,15.02
CENTRO DE SAUDE BOA VISTA,LESTE,2023,111,2315560,0.48,0.48
CENTRO DE SAUDE BOA VISTA,LESTE,2024,151,2315560,0.65,0.65
CENTRO DE SAUDE BOA VISTA,LESTE,2025,156,2416339,0.65,0.65
CENTRO DE SAUDE BOA VISTA,LESTE,2026,37,0,NA,23.15
CENTRO DE SAUDE BOM JESUS,NOROESTE,2023,128,2315560,0.55,0.55
CENTRO DE SAUDE BOM JESUS,NOROESTE,2024,152,2315560,0.66,0.66
CENTRO DE SAUDE BOM JESUS,NOROESTE,2025,150,2416339,0.62,0.62
CENTRO DE SAUDE BOM JESUS,NOROESTE,2026,32,0,NA,20.02
CENTRO DE SAUDE BONSUCESSO,BARREIRO,2023,219,2315560,0.95,0.95
CENTRO DE SAUDE BONSUCESSO,BARREIRO,2024,297,2315560,1.28,1.28
CENTRO DE SAUDE BONSUCESSO,BARREIRO,2025,261,2416339,1.08,1.08
