ano,nome_cs,pop_cs_total,n_icsap_total,taxa_bruta,taxa_padronizada
2022,CENTRO DE SAUDE AARAO REIS,11650,81,69.52789699570815,72.01650250986647
2022,CENTRO DE SAUDE ALCIDES LINS,16809,170,101.13629603188768,90.27259880524502
2022,CENTRO DE SAUDE ALTO VERA CRUZ,11675,162,138.75802997858673,157.98972891768088
2022,CENTRO DE SAUDE AMILCAR VIANA MARTINS,12697,127,100.02362762857368,103.20037382809116
2022,CENTRO DE SAUDE ANDRADAS,18073,182,100.70270569357605,107.4102749972314
2022,CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,13836,141,101.90806591500434,101.31128310953075
2022,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,19294,167,86.55540582564528,79.39452725676017
2022,CENTRO DE SAUDE BARREIRO DE CIMA,17070,181,106.03397773872291,112.02718934496117
2022,CENTRO DE SAUDE BETANIA,10839,99,91.33683919180737,97.86905595844449
2022,CENTRO DE SAUDE BOA VISTA,10081,127,125.97956551929373,124.43362561893211
2022,CENTRO DE SAUDE BOM JESUS,9944,115,115.64762670957361,101.54516114152447
2022,CENTRO DE SAUDE BONSUCESSO,12486,150,120.13455069678038,148.09888167621574
2022,CENTRO DE SAUDE CABANA,16580,210,126.65862484921593,129.16660292613287
2022,CENTRO DE SAUDE CACHOEIRINHA,13773,140,101.64815218180499,94.53029336792986
2022,CENTRO DE SAUDE CAFEZAL,9511,96,100.9357585953107,141.52534330984454
2022,CENTRO DE SAUDE CALIFORNIA,15827,146,92.24742528590384,95.30703836769142
2022,CENTRO DE SAUDE CAMARGOS,13238,50,37.77005589968273,48.490898224531456
2022,CENTRO DE SAUDE CAMPO ALEGRE,18047,152,84.22452485177591,85.158086488282
2022,CENTRO DE SAUDE CAPITAO EDUARDO,4549,57,125.30226423389756,146.30731677347393
2022,CENTRO DE SAUDE CARLOS CHAGAS,22988,359,156.16843570558552,172.11018677243695
2022,CENTRO DE SAUDE CARLOS PRATES,28247,225,79.65447658158388,66.2326374820263
2022,CENTRO DE SAUDE CEU AZUL,18181,188,103.40465320939441,108.59815929816855
2022,CENTRO DE SAUDE CICERO IDELFONSO,10507,189,179.8800799467022,194.59501586199636
2022,CENTRO DE SAUDE CIDADE OZANAN,24513,130,53.03308448578305,45.81746999572729
2022,CENTRO DE SAUDE CONFISCO,11498,110,95.66881196729867,106.38586792078024
2022,CENTRO DE SAUDE CONJUNTO BETANIA,8413,72,85.58183763223582,82.43410217348242
2022,CENTRO DE SAUDE CONJUNTO PAULO VI,8636,63,72.95044001852709,100.5724473950272
2022,CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,7742,79,102.0408163265306,110.97893500956053
2022,CENTRO DE SAUDE CONJUNTO SANTA MARIA,17490,38,21.726700971983988,19.02508736048077
2022,CENTRO DE SAUDE COPACABANA,14176,136,95.93679458239278,111.2068329856865
2022,CENTRO DE SAUDE COQUEIROS,15630,151,96.60908509277031,92.70224489553217
2022,CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,14608,142,97.20700985761226,100.09783767462581
2022,CENTRO DE SAUDE DOM BOSCO,12206,150,122.89038177945274,110.17285614975343
2022,CENTRO DE SAUDE DOM CABRAL,12520,95,75.87859424920127,75.1488912540013
