cep,lat,lon,motivo,fonte
31150470,-19.877416,-43.9454462,NA,NA
30240290,-19.9306672,-43.9207254,NA,NA
31840340,-19.8396478,-43.9332774,NA,NA
31814463,-19.8607781,-43.9247678,NA,NA
30882747,-19.8750202,-44.0168192,NA,NA
31110090,-19.9084283,-43.9344454,NA,NA
30512040,-19.944384,-44.0035755,NA,NA
30290450,-19.9200136,-43.8770237,NA,NA
31995355,-19.8421828,-43.8855239,NA,NA
31730738,-19.8416252,-43.9476129,NA,NA
31580570,-19.8249397,-44.0033177,NA,NA
31575580,-19.809858,-43.9977215,NA,NA
31810600,-19.862767,-43.9299668,NA,NA
31810540,-19.8629998,-43.9275197,NA,NA
31640640,-19.7992955,-43.9769119,NA,NA
30190060,-19.9202847,-43.9444642,NA,NA
30285510,-19.9162426,-43.8928976,NA,NA
30692550,-19.9923845,-44.0519346,NA,NA
31990240,-19.8508329,-43.896613,NA,NA
31620310,-19.8023215,-43.9661848,NA,NA
30865120,-19.9130787,-44.019827,NA,NA
31840310,-19.8399143,-43.9354636,NA,NA
31810050,-19.8615495,-43.9291576,NA,NA
31310040,-19.8659734,-43.9785002,NA,NA
30626250,-19.998157,-44.0109176,NA,NA
31130420,-19.8926122,-43.9404891,NA,NA
30270180,-19.921523,-43.9073018,NA,NA
31573160,-19.8109838,-43.9873609,NA,NA
31255250,-19.8717039,-43.9502353,NA,NA
30431202,-19.9401692,-43.9654056,NA,NA
30690330,-19.9768265,-44.0523901,NA,NA
31640420,-19.7963044,-43.9682571,NA,NA
30360180,-19.9580244,-43.9460565,NA,NA
31910230,-19.8691182,-43.9223719,NA,NA
31950460,-19.8662162,-43.8968793,NA,NA
30295280,-19.9162577,-43.8821867,NA,NA
30710460,-19.9138509,-43.9655797,NA,NA
30672656,-20.0196334,-44.0229338,NA,NA
30628150,-20.0110563,-44.0073282,NA,NA
31655110,-19.7910184,-43.9819147,NA,NA
31746110,-19.8105194,-43.9349267,NA,NA
31070430,-19.8932509,-43.892652,NA,NA
30510180,-19.9390907,-43.9894631,NA,NA
30290140,-19.9194212,-43.8810747,NA,NA
