nome_cs,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,fonte_censo,data_extracao_censo
CENTRO DE SAUDE AARAO REIS,11653,NA,NA,0.16,1.8,23,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ALCIDES LINS,16826,NA,NA,0.08,1.8,42,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ALTO VERA CRUZ,11675,NA,NA,0.13,2.66,21,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE AMILCAR VIANA MARTINS,12697,NA,NA,0.14,1.56,26,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ANDRADAS,18084,NA,NA,1.41,1.94,37,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,13842,NA,NA,3.37,1.83,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,19304,NA,NA,0.16,1.61,46,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BARREIRO DE CIMA,17070,NA,NA,0.03,1.68,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BETANIA,10842,NA,NA,0.05,1.69,25,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BOA VISTA,10081,NA,NA,0.16,2.11,21,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BOM JESUS,9948,NA,NA,0.1,1.98,20,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE BONSUCESSO,12489,NA,NA,0.89,1.98,27,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CABANA,16585,NA,NA,0.07,1.87,43,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CACHOEIRINHA,13788,NA,NA,0.35,1.8,33,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CAFEZAL,9511,NA,NA,0.22,2.38,22,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CALIFORNIA,15835,NA,NA,0.34,1.73,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CAMARGOS,13240,NA,NA,0.18,1.32,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CAMPO ALEGRE,18050,NA,NA,0.04,1.54,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CAPITAO EDUARDO,4582,NA,NA,2.65,2.18,10,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CARLOS CHAGAS,23141,NA,NA,0.25,1.12,74,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CARLOS PRATES,28260,NA,NA,0.73,1.62,64,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CEU AZUL,18187,NA,NA,0.23,1.96,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CICERO IDELFONSO,10511,NA,NA,0.18,2.1,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CIDADE OZANAN,24556,NA,NA,0.59,1.35,54,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE CONFISCO,11502,NA,NA,0.13,1.94,24,IBGE_Censo2022,2026-05-15
