co_unidade,nome_cs
0012440,CENTRO DE SAUDE MENINO JESUS
0012483,CENTRO DE SAUDE CARLOS CHAGAS
0013080,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0013137,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0022500,CENTRO DE SAUDE CARLOS PRATES
0022543,CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO
0022551,CENTRO DE SAUDE ITAIPU - JATOBA
0022578,CENTRO DE SAUDE BARREIRO DE CIMA
0022586,CENTRO DE SAUDE MILIONARIOS
0022608,CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE
0022616,CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS
0022624,CENTRO DE SAUDE URUCUIA
0022632,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO
0022640,CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS
0022659,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0022667,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0022683,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO
0022691,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0022713,CENTRO DE SAUDE INDEPENDENCIA
0022748,CENTRO DE SAUDE SANTA CECILIA
0022756,CENTRO DE SAUDE VILA CEMIG
0022764,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0022772,CENTRO DE SAUDE MENINO JESUS
0022799,CENTRO DE SAUDE CARLOS CHAGAS
0022810,CENTRO DE SAUDE MENINO JESUS
0022837,CENTRO DE SAUDE HORTO
0022853,CENTRO DE SAUDE TAQUARIL
0022861,CENTRO DE SAUDE NOVO HORIZONTE
0022888,CENTRO DE SAUDE POMPEIA
0022896,CENTRO DE SAUDE MARIANO DE ABREU
0022918,CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES
0022934,CENTRO DE SAUDE SAO JOSE OPERARIO
0022942,CENTRO DE SAUDE HORTO
0022950,CENTRO DE SAUDE VERA CRUZ
0022969,CENTRO DE SAUDE SAO GERALDO
0022977,CENTRO DE SAUDE HORTO
0022993,CENTRO DE SAUDE PARAISO
0023000,CENTRO DE SAUDE BOA VISTA
0023019,CENTRO DE SAUDE VILA MARIA
0023035,CENTRO DE SAUDE CONJUNTO PAULO VI
0023078,CENTRO DE SAUDE GOIANIA
0023086,CENTRO DE SAUDE SANTA CRUZ - PADRE FERNANDO DE MELLO
0023094,CENTRO DE SAUDE SAO PAULO
0023108,CENTRO DE SAUDE SAO PAULO
0023116,CENTRO DE SAUDE SAO GABRIEL - FABIO CORREA LIMA
0023132,CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO
0023140,CENTRO DE SAUDE MARIA GORETTI
0023159,CENTRO DE SAUDE NAZARE
0023167,CENTRO DE SAUDE CIDADE OZANAN
0023175,CENTRO DE SAUDE GENTIL GOMES
0023183,CENTRO DE SAUDE ALCIDES LINS
0023191,CENTRO DE SAUDE DOM JOAQUIM
0023205,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
0023213,CENTRO DE SAUDE SAO BERNARDO - AMELIA ROCHA DE MELO
0023221,CENTRO DE SAUDE GUARANI
