cod_smsa,nome_cs,regional,n_setores,pop_total_ivs,pct_baixo,pct_medio,pct_elevado,pct_muito_elevado,ivs_predominante,ivs_score
1200,CENTRO DE SAUDE BARREIRO DE CIMA,BARREIRO,22,18209,0,95.34,4.66,0,Médio,2.047
1210,CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,BARREIRO,25,13759,12.88,78.51,8.61,0,Médio,1.957
1220,CENTRO DE SAUDE INDEPENDENCIA,BARREIRO,26,17465,0,35.06,50.79,14.15,Elevado,2.791
1230,CENTRO DE SAUDE BONSUCESSO,BARREIRO,18,11235,0,38.27,14.89,46.84,Muito Elevado,3.086
1240,CENTRO DE SAUDE MILIONARIOS,BARREIRO,27,18322,0,83.16,16.84,0,Médio,2.168
1250,CENTRO DE SAUDE TIROL - FRANCISCO GOMES BARBOSA,BARREIRO,21,16637,28.74,52.09,8.4,10.77,Médio,2.012
1260,CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,BARREIRO,15,9519,5.89,72.27,15.57,6.27,Médio,2.222
1270,CENTRO DE SAUDE VALE DO JATOBA,BARREIRO,23,16700,0,61.75,37.1,1.15,Médio,2.394
1280,CENTRO DE SAUDE VILA PINHO,BARREIRO,14,12426,0,20.09,53.45,26.45,Elevado,3.064
1290,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,BARREIRO,38,20999,47.12,45.35,7.53,0,Baixo,1.604
1300,CENTRO DE SAUDE ITAIPU - JATOBA,BARREIRO,16,12695,0.35,61.18,38.47,0,Médio,2.381
1310,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,BARREIRO,26,17758,6.74,84.89,8.37,0,Médio,2.016
1320,CENTRO DE SAUDE SANTA CECILIA,BARREIRO,20,12637,0,26.01,63.11,10.88,Elevado,2.849
1330,CENTRO DE SAUDE URUCUIA,BARREIRO,20,16496,0,88.62,5.61,5.77,Médio,2.171
1340,CENTRO DE SAUDE VILA CEMIG,BARREIRO,11,8351,0,0,64.47,35.53,Elevado,3.355
1360,CENTRO DE SAUDE MANGUEIRAS,BARREIRO,18,9826,0,36.5,44.9,18.6,Elevado,2.821
1390,CENTRO DE SAUDE PILAR - OLHOS DAGUA,BARREIRO,14,7630,0,13.6,57.89,28.51,Elevado,3.149
1400,CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,BARREIRO,20,13995,5.09,90.62,4.29,0,Médio,1.992
1450,CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,BARREIRO,30,16039,0,79.57,11.32,9.11,Médio,2.295
1460,CENTRO DE SAUDE REGINA,BARREIRO,16,11486,0,72.07,27.93,0,Médio,2.279
2200,CENTRO DE SAUDE OSWALDO CRUZ,CENTRO-SUL,53,23319,97.12,2.88,0,0,Baixo,1.029
2210,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA,CENTRO-SUL,69,39884,81.12,0.56,14.88,3.44,Baixo,1.406
2220,CENTRO DE SAUDE CARLOS CHAGAS,CENTRO-SUL,54,24970,98.01,1.99,0,0,Baixo,1.02
2230,CENTRO DE SAUDE NOSSA SENHORA APARECIDA,CENTRO-SUL,35,22191,69.66,4.85,20.18,5.3,Baixo,1.611
2240,CENTRO DE SAUDE TIA AMANCIA,CENTRO-SUL,39,19820,94.39,0,5.61,0,Baixo,1.112
2250,CENTRO DE SAUDE SANTA RITA DE CASSIA,CENTRO-SUL,62,40035,81.59,0,8.75,9.66,Baixo,1.465
2260,CENTRO DE SAUDE MENINO JESUS,CENTRO-SUL,88,48235,100,0,0,0,Baixo,1
2270,CENTRO DE SAUDE SANTA LUCIA,CENTRO-SUL,16,11007,24.03,0,21.59,54.38,Muito Elevado,3.063
2280,CENTRO DE SAUDE CONJUNTO SANTA MARIA,CENTRO-SUL,27,18390,88.61,0,10.23,1.15,Baixo,1.239
2290,CENTRO DE SAUDE CAFEZAL,CENTRO-SUL,21,8796,0,0,46.73,53.27,Muito Elevado,3.533
2300,CENTRO DE SAUDE PADRE TARCISIO,CENTRO-SUL,23,14969,58.41,0,25.85,15.73,Baixo,1.989
2330,CENTRO DE SAUDE SAO MIGUEL ARCANJO,CENTRO-SUL,13,9605,0,0,24.54,75.46,Muito Elevado,3.755
3200,CENTRO DE SAUDE ALTO VERA CRUZ,LESTE,19,13136,0,5.95,73.68,20.36,Elevado,3.144
3210,CENTRO DE SAUDE BOA VISTA,LESTE,16,11474,0,100,0,0,Médio,2
3220,CENTRO DE SAUDE HORTO,LESTE,77,42733,93.88,0.25,4.44,1.43,Baixo,1.134
3230,CENTRO DE SAUDE MARIANO DE ABREU,LESTE,23,16001,0,55.29,38.9,5.81,Médio,2.505
3240,CENTRO DE SAUDE PARAISO,LESTE,49,27985,48.2,40.08,10.24,1.48,Baixo,1.65
3250,CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES,LESTE,55,31286,79.9,19.26,0.83,0,Baixo,1.209
3260,CENTRO DE SAUDE SANTA INES,LESTE,24,16016,68.5,31.5,0,0,Baixo,1.315
3270,CENTRO DE SAUDE SAO GERALDO,LESTE,17,11237,0,92.91,5.47,1.62,Médio,2.087
3280,CENTRO DE SAUDE POMPEIA,LESTE,28,17726,41.48,48.01,6.49,4.02,Médio,1.731
3290,CENTRO DE SAUDE SAO JOSE OPERARIO,LESTE,12,8277,0,100,0,0,Médio,2
3300,CENTRO DE SAUDE TAQUARIL,LESTE,21,12314,0.5,21.14,35.76,42.59,Muito Elevado,3.204
3310,CENTRO DE SAUDE NOVO HORIZONTE,LESTE,14,10450,0,0,26.57,73.43,Muito Elevado,3.734
3320,CENTRO DE SAUDE VERA CRUZ,LESTE,24,15249,0,57.85,42.15,0,Médio,2.422
3360,CENTRO DE SAUDE GRANJA DE FREITAS,LESTE,6,4601,0,0,14.39,85.61,Muito Elevado,3.856
4200,CENTRO DE SAUDE CACHOEIRINHA,NORDESTE,31,16921,40.52,55.35,4.13,0,Médio,1.636
