nome_cs,faixa_etaria,pop_faixa
CENTRO DE SAUDE AARAO REIS,0-4,523
CENTRO DE SAUDE AARAO REIS,5-9,628
CENTRO DE SAUDE AARAO REIS,10-14,615
CENTRO DE SAUDE AARAO REIS,15-19,727
CENTRO DE SAUDE AARAO REIS,20-24,949
CENTRO DE SAUDE AARAO REIS,25-29,920
CENTRO DE SAUDE AARAO REIS,30-39,1648
CENTRO DE SAUDE AARAO REIS,40-49,1864
CENTRO DE SAUDE AARAO REIS,50-59,1665
CENTRO DE SAUDE AARAO REIS,60-69,1135
CENTRO DE SAUDE AARAO REIS,70+,976
CENTRO DE SAUDE ALCIDES LINS,0-4,627
CENTRO DE SAUDE ALCIDES LINS,5-9,739
CENTRO DE SAUDE ALCIDES LINS,10-14,708
CENTRO DE SAUDE ALCIDES LINS,15-19,901
CENTRO DE SAUDE ALCIDES LINS,20-24,1050
CENTRO DE SAUDE ALCIDES LINS,25-29,1204
CENTRO DE SAUDE ALCIDES LINS,30-39,2462
CENTRO DE SAUDE ALCIDES LINS,40-49,2427
CENTRO DE SAUDE ALCIDES LINS,50-59,2293
CENTRO DE SAUDE ALCIDES LINS,60-69,2300
CENTRO DE SAUDE ALCIDES LINS,70+,2098
CENTRO DE SAUDE ALTO VERA CRUZ,0-4,660
CENTRO DE SAUDE ALTO VERA CRUZ,5-9,785
CENTRO DE SAUDE ALTO VERA CRUZ,10-14,824
CENTRO DE SAUDE ALTO VERA CRUZ,15-19,933
CENTRO DE SAUDE ALTO VERA CRUZ,20-24,1003
CENTRO DE SAUDE ALTO VERA CRUZ,25-29,962
CENTRO DE SAUDE ALTO VERA CRUZ,30-39,1660
CENTRO DE SAUDE ALTO VERA CRUZ,40-49,1673
CENTRO DE SAUDE ALTO VERA CRUZ,50-59,1468
CENTRO DE SAUDE ALTO VERA CRUZ,60-69,973
CENTRO DE SAUDE ALTO VERA CRUZ,70+,734
CENTRO DE SAUDE AMILCAR VIANA MARTINS,0-4,578
CENTRO DE SAUDE AMILCAR VIANA MARTINS,5-9,615
CENTRO DE SAUDE AMILCAR VIANA MARTINS,10-14,609
CENTRO DE SAUDE AMILCAR VIANA MARTINS,15-19,721
CENTRO DE SAUDE AMILCAR VIANA MARTINS,20-24,875
CENTRO DE SAUDE AMILCAR VIANA MARTINS,25-29,982
CENTRO DE SAUDE AMILCAR VIANA MARTINS,30-39,2180
CENTRO DE SAUDE AMILCAR VIANA MARTINS,40-49,2034
CENTRO DE SAUDE AMILCAR VIANA MARTINS,50-59,1692
CENTRO DE SAUDE AMILCAR VIANA MARTINS,60-69,1255
CENTRO DE SAUDE AMILCAR VIANA MARTINS,70+,1156
CENTRO DE SAUDE ANDRADAS,0-4,795
CENTRO DE SAUDE ANDRADAS,5-9,949
CENTRO DE SAUDE ANDRADAS,10-14,994
CENTRO DE SAUDE ANDRADAS,15-19,1103
CENTRO DE SAUDE ANDRADAS,20-24,1323
CENTRO DE SAUDE ANDRADAS,25-29,1449
CENTRO DE SAUDE ANDRADAS,30-39,2804
CENTRO DE SAUDE ANDRADAS,40-49,2958
CENTRO DE SAUDE ANDRADAS,50-59,2487
CENTRO DE SAUDE ANDRADAS,60-69,1780
CENTRO DE SAUDE ANDRADAS,70+,1431
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,0-4,676
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,5-9,759
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,10-14,806
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,15-19,900
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,20-24,1037
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,25-29,992
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,30-39,1971
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,40-49,2116
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,50-59,1911
