nome_cs,competencia,ano_cmpt,mes_cmpt,cod_smsa,regional,n_esf,n_emulti,n_esb,n_medicos,n_mfc,pct_mfc,n_acs,ch_medica_total,cobertura_aps_pct,populacao_referencia,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,pct_area_favela,data_competencia,n_esf_egestor,qt_capacidade_equipe,fonte_egestor,data_extracao_egestor,fonte_censo,data_extracao_censo,fonte_favelas,data_extracao_favelas,data_extracao_cnes,ivs_score,ivs_predominante,pct_baixo,pct_medio,pct_elevado,pct_muito_elevado
CENTRO DE SAUDE JARDIM ALVORADA,2301,2023,1,8390,PAMPULHA,6,0,0,0,0,NA,0,0,89.99,2315560,10754,NA,NA,0.13,1.96,26,19.73,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.491,Médio,0,58.95,33.02,8.03
CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,2301,2023,1,1310,BARREIRO,7,0,0,0,0,NA,0,0,89.99,2315560,17545,NA,NA,0.06,1.59,34,0.01,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.016,Médio,6.74,84.89,8.37,0
CENTRO DE SAUDE LINDEIA - MARIA MADALENA TEODORO,2301,2023,1,1400,BARREIRO,6,0,0,0,0,NA,0,0,89.99,2315560,11083,NA,NA,0.21,1.77,24,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.992,Médio,5.09,90.62,4.29,0
CENTRO DE SAUDE VENTOSA,2301,2023,1,7310,OESTE,13,0,0,0,0,NA,0,0,89.99,2315560,22108,NA,NA,0.19,1.94,58,17.47,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.983,Baixo,42.98,24.14,24.45,8.44
CENTRO DE SAUDE COQUEIROS,2301,2023,1,5590,NOROESTE,12,0,0,0,0,NA,0,0,89.99,2315560,15630,NA,NA,0.1,1.91,29,0.03,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.046,Médio,0,95.41,4.59,0
CENTRO DE SAUDE GLORIA,2301,2023,1,5250,NOROESTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,9539,NA,NA,0.16,1.8,24,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.941,Médio,5.9,94.1,0,0
CENTRO DE SAUDE OLAVO ALBINO CORREA,2301,2023,1,4430,NORDESTE,5,0,0,0,0,NA,0,0,89.99,2315560,12417,NA,NA,1.64,1.8,28,10.78,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.628,Médio,0,46.77,43.66,9.57
CENTRO DE SAUDE GOIANIA,2301,2023,1,4300,NORDESTE,9,0,0,0,0,NA,0,0,89.99,2315560,18683,NA,NA,0.71,1.94,40,8.82,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.4,Médio,0,69.92,20.18,9.89
CENTRO DE SAUDE JARDIM VITÓRIA - MARCELO PONTEL GOMES,2301,2023,1,4410,NORDESTE,5,0,0,0,0,NA,0,0,89.99,2315560,12263,NA,NA,0.09,1.66,27,0.11,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.036,Médio,9.57,77.29,13.14,0
CENTRO DE SAUDE PADRE TARCISIO,2301,2023,1,2300,CENTRO-SUL,6,0,0,0,0,NA,0,0,89.99,2315560,14401,NA,NA,0.66,1.6,33,21.39,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.989,Baixo,58.41,0,25.85,15.73
CENTRO DE SAUDE DOM CABRAL,2301,2023,1,5230,NOROESTE,5,0,0,0,0,NA,0,0,89.99,2315560,12537,NA,NA,0.02,1.65,36,6.26,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.463,Baixo,66.77,20.16,13.07,0
CENTRO DE SAUDE INDEPENDENCIA,2301,2023,1,1220,BARREIRO,10,0,0,0,0,NA,0,0,89.99,2315560,15449,NA,NA,0.36,1.88,31,19.12,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.791,Elevado,0,35.06,50.79,14.15
