Caracteristica,Total,Pre,Pos,p_valor
Total de internações ICSAP,113.695,78.785,34.910,—
Sexo — n (%),,,,
  Masculino,57.384 (50.5%),39.482 (50.1%),17.902 (51.3%),"<0,001"
  Feminino,56.311 (49.5%),39.303 (49.9%),17.008 (48.7%),"<0,001"
Idade (anos) — mediana [IIQ],59.0 [35.0–73.0],59.0 [33.0–73.0],60.0 [37.0–73.0],"<0,001"
Faixa etária — n (%),,,,"<0,001"
  < 5 anos,9.200 (8.1%),6.676 (8.5%),2.524 (7.2%),
  5–14 anos,8.625 (7.6%),6.114 (7.8%),2.511 (7.2%),
  15–29 anos,7.513 (6.6%),5.324 (6.8%),2.189 (6.3%),
  30–44 anos,11.458 (10.1%),7.870 (10.0%),3.588 (10.3%),
  45–59 anos,20.652 (18.2%),14.393 (18.3%),6.259 (17.9%),
  60–74 anos,31.100 (27.4%),21.139 (26.8%),9.961 (28.5%),
  ≥ 75 anos,25.147 (22.1%),17.269 (21.9%),7.878 (22.6%),
Top 5 grupos ICSAP (Portaria 221/2008) — n (%),,,,"<0,001"
  Hipertensão essencial / Angina pectoris,35.123 (30.9%),23.813 (30.2%),11.310 (32.4%),
  Nasofaringite aguda / Pneumonia por Streptococcus pn...,33.567 (29.5%),22.803 (28.9%),10.764 (30.8%),
  Nefrite túbulo-intersticial aguda,12.024 (10.6%),8.549 (10.9%),3.475 (10.0%),
  Diabetes mellitus insulino-dependente,9.363 (8.2%),6.310 (8.0%),3.053 (8.7%),
  Outras gastroenterites e colites / Outras doenças do...,6.728 (5.9%),4.584 (5.8%),2.144 (6.1%),
Regional de saúde — n (%),,,,"0,021"
  BARREIRO,13.542 (11.9%),9.523 (12.1%),4.019 (11.5%),
  CENTRO-SUL,7.665 (6.7%),5.328 (6.8%),2.337 (6.7%),
  LESTE,10.109 (8.9%),7.153 (9.1%),2.956 (8.5%),
  NORDESTE,13.075 (11.5%),9.092 (11.5%),3.983 (11.4%),
  NOROESTE,10.709 (9.4%),7.476 (9.5%),3.233 (9.3%),
  NORTE,10.712 (9.4%),7.414 (9.4%),3.298 (9.4%),
  OESTE,10.327 (9.1%),7.310 (9.3%),3.017 (8.6%),
  PAMPULHA,7.228 (6.4%),5.015 (6.4%),2.213 (6.3%),
  VENDA NOVA,14.825 (13.0%),10.235 (13.0%),4.590 (13.1%),
Com CS identificado — n (%),98.192 (86.4%),68.546 (87.0%),29.646 (84.9%),"<0,001"
Dias de permanência — mediana [IIQ],6.0 [3.0–11.0],6.0 [3.0–11.0],6.0 [3.0–11.0],"<0,001"
"Custo por internação (BRL deflacionados, R$ mar/2026) — mediana [IIQ]",831.3 [494.8–1630.6],814.6 [479.2–1584.0],867.6 [522.7–1775.1],"<0,001"
